code,names
ABEV3,AMBEV
AZUL4,AZUL
B3SA3,B3
BBAS3,BANCO DO BRASIL
BBDC3,BRADESCO
BBDC4,BRADESCO
BBSE3,BB SEGURIDADE
BBSE3,BB SEGUROS
BRAP4,BRADESPAR
BRDT3,PETROBRAS
BRFS3,BRF
BRKM5,BRASKEM
BRML3,BR MALLS
BRML3,BRMALLS
BTOW3,B2W
CCRO3,CCR
CIEL3,CIELO
CMIG4,CEMIG
CSAN3,COSAN
CSAN3,RAIZEN
CSAN3,COMGAS
CSAN3,MOOVE
CSNA3,CSN
CVCB3,CVC
CYRE3,CYRELA
ECOR3,ECORODOVIAS
EGIE3,ENGIE
ELET3,ELETROBRAS
ELET6,ELETROBRAS
EMBR3,EMBRAER
ENBR3,EDP
EQTL3,EQUATORIAL
ESTC3,ESTACIO
FLRY3,FLEURY
GGBR4,GERDAU
GOAU4,GERDAU
GOLL4,GOL
HYPE3,HYPERA
IGTA3,IGUATEMI
IRBR3,IRB
ITSA4,ITAU
ITUB4,ITAU
JBSS3,JBS
KLBN11,KLABIN
KROT3,KROTON
LAME4,LOJAS AMERICANAS
LREN3,RENNER
MGLU3,MAGAZINE LUIZA
MRFG3,MARFRIG
MRVE3,MRV
MULT3,MULTIPLAN
NATU3,NATURA
PCAR4,PAO DE ACUCAR
PCAR4,EXTRA
PCAR4,FINLANDEK
PCAR4,QUALITA
PCAR4,TAEQ
PETR3,PETROBRAS
PETR4,PETROBRAS
QUAL3,QUALICORP
RADL3,RAIADROGASIL
RADL3,RAIA DROGASIL
RAIL3,RUMO
RENT3,LOCALIZA
SANB11,SANTANDER
SBSP3,SABESP
SMLS3,SMILES
SUZB3,SUZANO
TAEE11,TAESA
TIMP3,TIM
UGPA3,ULTRAPAR
UGPA3,ULTRA
USIM5,USIMINAS
VALE3,Vale | Samarco 
VIVT4,TELEFONICA
VVAR3,VIA VAREJO
VVAR3,CASAS BAHIA   
VVAR3,PONTOFRIO
WEGE3,WEG
